,protocol,threads,zipf,table_partition,commit,abort,operation,memory,latency_50,latency_75,latency_95,latency_99
0,SpectrumSTRAWMAN,36,0.9,9973,267621.10753000004,102625.05678000003,321892086.83820003,61034421649.72783,117.3,139.3,191.4,260.1
1,SpectrumCOPYONWRITE,36,0.9,9973,382183.26460999995,144628.12503000005,461288829.92685,13497482141.343342,78.8,92.0,125.2,193.9
